respondent_id,persona_type,straight_liner_flag,inconsistent_response_flag,outlier_flag,social_desirability_flag,persona_leakage_flag,age_group,gender,city,education,occupation,income_band,income_midpoint,creative_identity_score,ci_creative_person,ci_making_things,ci_express_emotions,ci_follow_creators,ci_feel_dull,ai_comfort,art_interest_level,disc_instagram_youtube_re,disc_friend_family_recomm,disc_google_search,disc_whatsapp_forwards,disc_mall_in-person,disc_influencer_blogger,disc_zomato_magicpin,disc_employer_college_boa,act_painting,act_digital_art,act_gaming,act_yoga,act_photography,act_music,act_reading,act_diy,exp_art_workshop,exp_gaming_zone,exp_escape_room,exp_pottery,exp_cooking_class,exp_wellness,exp_museum,current_creative_spend_band,current_creative_spend_mid,leisure_spend_band,leisure_spend_mid,mall_visit_frequency,social_group,style_mandala,style_madhubani,style_warli,style_watercolour,style_portrait,style_abstract,style_anime,style_calligraphy,prod_ai_coaching,prod_art_kit,prod_tablet_session,prod_print_on_demand,prod_skill_tracker,prod_mood_prompts,prod_kids_session,prod_corporate,prod_membership,prod_wellness_therapy,mot_stress_relief,mot_skill_learning,mot_social,mot_social_media,mot_child_dev,mot_novelty,mot_career,eng_gamified,eng_leaderboard,eng_kit,eng_print,eng_portfolio,eng_themed,conjoint_choice,visit_freq_intent,pricing_preference,kit_wtp_band,kit_wtp_mid,discount_preference,preferred_location,session_time_pref,session_duration_pref,gifting_birthday,gifting_diwali,gifting_child,gifting_corporate,gifting_maybe,gifting_no,language_preference,barrier_price,barrier_identity,barrier_skill,barrier_embarrass,barrier_location,barrier_time,barrier_family,barrier_diy,barrier_none,child_extracurr_spend_band,child_extracurr_spend_mid,annual_spend_band,annual_spend_midpoint,nps_score,visit_intent_5class,visit_intent_binary
R0001,P2_GenZ_Student,0,0,0,0,0,18-24,Male,Tier 2 City,Graduate,Student-College,25K-50K,37500.0,21,4,5,4,3,5,Daily user-love it,Semi-professional,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,500-1500,1000.0,500-1500,,Once a month,Partner/Spouse,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,Option A-Art Pod Session,Once a week,Monthly membership,Up to 299,150.0,Student discount,Gym/Wellness Centre,Weekend Afternoon,30 min express,0,0,0,1,1,0,Bengali,0,0,1,0,0,0,0,0,1,,,1K-3K,2000,8,Undecided,0
R0002,P7_Disinterested,0,0,0,0,0,45-55,Male,Tier 3 City/Town,Graduate,Student-College,,75000.0,11,2,3,2,2,2,Curious-not tried,Slightly curious,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Below 500,250.0,3000-6000,4500.0,Once/twice a year,Children/Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Option B-Escape Room,Once a month,Pay-per-session,Would not buy,0.0,Corporate tie-up,Shopping Mall,Weekend Afternoon,30 min express,0,0,0,0,1,1,English,0,0,0,0,0,0,1,0,0,,,Below 1K,500,6,Unlikely to visit,0
R0003,P5_Wellness_Seeker,0,0,0,0,0,35-44,Female,Metro-Hyd/Pune/Chennai,Graduate,Parent-booking for child,25K-50K,37500.0,15,3,3,3,3,3,Occasional-prefer human,Occasional hobbyist,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,Below 500,250.0,3000-6000,4500.0,Once a month,Partner/Spouse,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,Option C-Movie,Once a week,Monthly membership,600-999,800.0,Festival/seasonal discount,Gym/Wellness Centre,Weekend Morning,60 min standard,0,1,0,0,0,0,Hindi,0,0,0,1,0,0,0,1,1,Nothing currently,0.0,Above 24K,35000,7,Likely to visit,1
R0004,P3_Millennial_Parent,0,0,0,0,0,35-44,Male,Metro-Delhi NCR,Postgraduate,Salaried Professional,Below 25K,15000.0,10,2,2,2,3,1,Sceptical,Slightly curious,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,500-1500,1000.0,1500-3000,2250.0,Once a week,Colleagues/Work team,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,Option A-Art Pod Session,2-3 times/month,Pay-per-session,Would not buy,0.0,Festival/seasonal discount,Standalone Studio,Weekend Morning,60 min standard,1,1,1,0,0,0,Telugu,0,0,0,0,0,0,0,0,0,3000-6000,4500.0,6K-12K,9000,8,Likely to visit,1
R0005,P1_Urban_Millennial_Creative,0,1,1,0,0,25-34,Male,Metro-Bengaluru,Postgraduate,Salaried Professional,Below 25K,9834.0,18,3,3,4,4,4,Daily user-love it,Regular hobbyist,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,Nothing,0.0,1500-3000,2250.0,Once a month,Alone,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,Option A-Art Pod Session,2-3 times/month,Pay-per-session,600-999,800.0,Corporate tie-up,Standalone Studio,Weekday Evening,90 min deep-dive,0,0,0,0,1,0,English,0,0,0,0,0,0,0,0,1,,,Above 24K,35459,7,Unlikely to visit,0
R0006,P1_Urban_Millennial_Creative,0,0,0,0,0,35-44,Male,Metro-Bengaluru,Doctoral,Salaried Professional,Above 2L,250000.0,21,4,5,4,4,4,Occasional-prefer human,Semi-professional,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,500-1500,1000.0,3000-6000,4500.0,Once a week,Alone,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,Option A-Art Pod Session,Once a month,Monthly membership,Up to 299,150.0,Free kit with first booking,Gym/Wellness Centre,Weekday Lunch,90 min deep-dive,1,1,1,0,0,0,English,1,0,0,0,0,0,0,0,0,,,6K-12K,9000,10,Likely to visit,1
R0007,P1_Urban_Millennial_Creative,0,0,0,0,0,25-34,Non-binary/Other,Metro-Bengaluru,Graduate,Salaried Professional,50K-1L,75000.0,21,5,5,3,4,4,Occasional-prefer human,Semi-professional,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,500-1500,1000.0,500-1500,1000.0,2-3 times/month,Children/Family,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,Option A-Art Pod Session,Once a month,Annual pass,600-999,800.0,First session free,Standalone Studio,Late Night,60 min standard,1,1,1,0,0,1,Hindi,0,0,0,0,0,0,0,0,0,,,6K-12K,9000,9,Undecided,0
R0008,P6_Tier2_Aspirational,0,0,0,0,0,18-24,Female,Tier 2 City,Graduate,Student-College,50K-1L,75000.0,10,2,2,1,3,2,Daily user-love it,Slightly curious,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,Nothing,0.0,1500-3000,2250.0,2-3 times/month,Alone,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,Option C-Movie,Once/twice a year,Pay-per-session,Up to 299,150.0,First session free,Shopping Mall,Weekend Morning,60 min standard,0,1,0,0,0,0,Hindi,1,0,0,0,0,0,1,0,1,,,1K-3K,2000,4,Likely to visit,1
R0009,P4_Corporate_Professional,0,1,0,0,0,45-55,Male,Metro-Delhi NCR,Postgraduate,Salaried Professional,50K-1L,75000.0,17,3,5,2,3,4,Daily user-love it,Regular hobbyist,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,500-1500,1000.0,500-1500,1000.0,2-3 times/month,Colleagues/Work team,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,Option B-Escape Room,2-3 times/month,Pay-per-session,300-599,450.0,Student discount,Corporate Campus,Late Night,30 min express,0,1,0,0,0,0,English,0,0,0,0,0,0,0,0,0,Below 1000,500.0,3K-6K,4500,7,Likely to visit,1
R0010,P4_Corporate_Professional,0,0,0,0,0,45-55,Female,Metro-Bengaluru,Postgraduate,Salaried Professional,Above 2L,250000.0,13,2,2,3,3,3,Occasional-prefer human,Occasional hobbyist,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,Nothing,0.0,Above 6000,7500.0,2-3 times/month,Partner/Spouse,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Option B-Escape Room,2-3 times/month,Corporate/group,Would not buy,0.0,Corporate tie-up,Gym/Wellness Centre,Weekday Lunch,60 min standard,0,0,1,1,0,0,English,0,1,0,0,0,0,0,0,0,,,Above 24K,35000,10,Undecided,0
